Game,Ownership,Multiplayer,Player(s),Platform(s),Size (GB),Steam ID,Game Image,Enjoyment,Notes,Install Status,Last Installed/Uninstalled
4 Souls,Kay,Local Multiplayer,"Kay,Dee,Gary,Martin,Parents","Board Game,PC,Steam",Med,,https://i.kickstarter.com/assets/021/662/180/97e5c249dee6b4488b268f9b5ba454cf_original.png?anim=false&fit=cover&gravity=auto&height=873&origin=ugc&q=92&v=1529970458&width=1552&sig=rfeWYjrfsKf4FDW3LYcI4pA%2BZDJIdI2MFCbe9OGnQeE%3D,9,,Install Not Needed,"9/21/2024, 7:39 AM"
7 Billon Humans,Kay,Single-Player,Kay,"PC,Steam",0.26,792100,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/[Steam ID]/library_600x900.jpg,8,,Installed,"9/21/2024, 7:29 AM"
8Bit Fiesta,Kay,Local Multiplayer,"Kay,Dee","PC,Steam",0.09,382260,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/382260/library_600x900.jpg?t=1723586951,7,,Not Installed,"9/21/2024, 7:29 AM"
9 Kings,Kay,Single-Player,Kay,"PC,Steam",0.16,2784470,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2784470/library_600x900.jpg,7,,Installed,"2/28/2026, 10:42 AM"
30 Second Life,Kay,Single-Player,Kay,Mobile,,,https://kotaku.com/igdb/image/upload/t_cover_big_2x/co99i4.jpg,7,,Not Installed,"9/21/2024, 7:29 AM"
80 Days,Kay,Single-Player,Kay,"PC,Steam",,381780,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/[Steam ID]/library_600x900.jpg,6,,Not Installed,"9/21/2024, 7:29 AM"
888 Poker,Kay,Online PvP,Kay,PC,,,https://www.pngkey.com/png/detail/138-1389406_888-poker-logo-png.png,6,,Installed,"9/21/2024, 7:29 AM"
1001 Spikes,Kay,"Single-Player,Local Multiplayer",Kay,"PC,Steam",0.1,260790,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/[Steam ID]/library_600x900.jpg,5,,Installed,"9/21/2024, 7:29 AM"
Aim Labs,Kay,Single-Player,"Kay,Dee","PC,Steam",18.07,714010,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/[Steam ID]/library_600x900.jpg,7,,Installed,"9/21/2024, 7:29 AM"
Alan Wake,Kay,Single-Player,Kay,"PC,Epic Games",16.9,108710,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/[Steam ID]/library_600x900.jpg?t=1769717716,3,,Not Installed,"9/21/2024, 7:29 AM"
